=== jgld.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
 201 0x00009445 0x10009445   5    5 .text   ascii   HSVWQ
 202 0x000094e5 0x100094e5   5    5 .text   ascii   HSVWQ
 203 0x000095a5 0x100095a5   5    5 .text   ascii   HSVWQ
 204 0x00009695 0x10009695   5    5 .text   ascii   DSVWQ
 205 0x000096f5 0x100096f5   5    5 .text   ascii   DSVWQ
 206 0x00009745 0x10009745   5    5 .text   ascii   DSVWQ
 207 0x00009775 0x10009775   5    5 .text   ascii   HSVWQ
 208 0x00009815 0x10009815   5    5 .text   ascii   DSVWQ
 209 0x00009845 0x10009845   5    5 .text   ascii   DSVWQ
 210 0x00009875 0x10009875   5    5 .text   ascii   DSVWQ
 211 0x000098b5 0x100098b5   5    5 .text   ascii   DSVWQ
 212 0x000098f5 0x100098f5   5    5 .text   ascii   LSVWQ
 213 0x000099c5 0x100099c5   5    5 .text   ascii   DSVWQ
 214 0x00009a05 0x10009a05   5    5 .text   ascii   DSVWQ
 215 0x00009a45 0x10009a45   5    5 .text   ascii   DSVWQ
 216 0x00009a85 0x10009a85   5    5 .text   ascii   DSVWQ
 217 0x00009ac5 0x10009ac5   5    5 .text   ascii   HSVWQ
 218 0x00009b55 0x10009b55   5    5 .text   ascii   DSVWQ
 219 0x00009b95 0x10009b95   5    5 .text   ascii   DSVWQ
 220 0x00009bd5 0x10009bd5   5    5 .text   ascii   DSVWQ
 221 0x00009c15 0x10009c15   5    5 .text   ascii   DSVWQ
 222 0x00009c55 0x10009c55   5    5 .text   ascii   HSVWQ
 223 0x00009d05 0x10009d05   5    5 .text   ascii   DSVWQ
 224 0x00009d45 0x10009d45   5    5 .text   ascii   DSVWQ
 225 0x00009d85 0x10009d85   5    5 .text   ascii   DSVWQ
 226 0x00009dc5 0x10009dc5   5    5 .text   ascii   DSVWQ
 227 0x00009e05 0x10009e05   5    5 .text   ascii   DSVWQ
 228 0x00009e45 0x10009e45   5    5 .text   ascii   HSVWQ
 229 0x00009ed5 0x10009ed5   5    5 .text   ascii   DSVWQ
 230 0x00009f15 0x10009f15   5    5 .text   ascii   DSVWQ
 231 0x00009f55 0x10009f55   5    5 .text   ascii   DSVWQ
 232 0x00009f95 0x10009f95   5    5 .text   ascii   DSVWQ
 233 0x00009fee 0x10009fee   4    4 .text   ascii   SVWQ
 234 0x0000a175 0x1000a175   5    5 .text   ascii   DSVWQ
 235 0x0000a1b5 0x1000a1b5   5    5 .text   ascii   DSVWQ
 236 0x0000a1f5 0x1000a1f5   5    5 .text   ascii   DSVWQ
 237 0x0000a235 0x1000a235   5    5 .text   ascii   DSVWQ
 238 0x0000a275 0x1000a275   5    5 .text   ascii   DSVWQ
 239 0x0000a2b5 0x1000a2b5   5    5 .text   ascii   DSVWQ
 240 0x0000a2f5 0x1000a2f5   5    5 .text   ascii   DSVWQ
 241 0x0000a34e 0x1000a34e   4    4 .text   ascii   SVWQ
 242 0x0000a4e5 0x1000a4e5   5    5 .text   ascii   DSVWQ
 243 0x0000a555 0x1000a555   5    5 .text   ascii   HSVWQ
 244 0x0000a5d5 0x1000a5d5   5    5 .text   ascii   DSVWQ
 245 0x0000a625 0x1000a625   5    5 .text   ascii   DSVWQ
 246 0x0000a665 0x1000a665   4    4 .text   ascii   @SVW
 247 0x0000a755 0x1000a755   5    5 .text   ascii   DSVWQ
 248 0x0000a7b5 0x1000a7b5   5    5 .text   ascii   DSVWQ
 249 0x0000a815 0x1000a815   5    5 .text   ascii   DSVWQ
 250 0x0000a875 0x1000a875   5    5 .text   ascii   DSVWQ
 251 0x0000a8d5 0x1000a8d5   5    5 .text   ascii   DSVWQ
 252 0x0000a935 0x1000a935   5    5 .text   ascii   DSVWQ
 253 0x0000a96a 0x1000a96a   5    5 .text   ascii   A\f_^[
 254 0x0000a995 0x1000a995   5    5 .text   ascii   DSVWQ
 255 0x0000a9b2 0x1000a9b2   4    4 .text   ascii   D_^[
 256 0x0000a9d5 0x1000a9d5   5    5 .text   ascii   DSVWQ
 257 0x0000aa0a 0x1000aa0a   5    5 .text   ascii   A\f_^[
 258 0x0000aa35 0x1000aa35   5    5 .text   ascii   DSVWQ
 259 0x0000aa52 0x1000aa52   4    4 .text   ascii   T_^[
 260 0x0000aa75 0x1000aa75   5    5 .text   ascii   DSVWQ
 261 0x0000aa94 0x1000aa94   8    8 .text   ascii   @\+AT_^[
 262 0x0000aab5 0x1000aab5   5    5 .text   ascii   DSVWQ
 263 0x0000aad4 0x1000aad4   8    8 .text   ascii   @`+AX_^[
 264 0x0000aaf5 0x1000aaf5   5    5 .text   ascii   DSVWQ
 265 0x0000ab11 0x1000ab11   5    5 .text   ascii   @@_^[
 266 0x0000ab35 0x1000ab35   5    5 .text   ascii   DSVWQ
 267 0x0000ab52 0x1000ab52   4    4 .text   ascii   $_^[
 268 0x0000ab75 0x1000ab75   5    5 .text   ascii   DSVWQ
 269 0x0000ab91 0x1000ab91   5    5 .text   ascii   @|_^[
 270 0x0000abb5 0x1000abb5   5    5 .text   ascii   DSVWQ
