=== Terrain.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 329 0x00016a5e 0x10016a5e   7    7 .text   ascii   ;E\ft!h,
 330 0x00016b00 0x10016b00   5    5 .text   ascii   SVWj\t
 331 0x00016be3 0x10016be3   4    4 .text   ascii   QSVW
 332 0x00016c39 0x10016c39   4    8 .text   utf16le jjjj
 333 0x00016d03 0x10016d03   4    8 .text   utf16le jjjj
 334 0x00016d2e 0x10016d2e   4   10 .text   utf16le jjjj
 335 0x00016d56 0x10016d56   4    8 .text   utf16le jjjj
 336 0x00016d7e 0x10016d7e   4    8 .text   utf16le jjjj
 337 0x00016da6 0x10016da6   4    8 .text   utf16le jjjj
 338 0x00016e7d 0x10016e7d   4    8 .text   utf16le jjjj
 339 0x00016eda 0x10016eda   4    8 .text   utf16le jjjj
 340 0x00016f33 0x10016f33   4   10 .text   utf16le jjjj
 341 0x00016f7c 0x10016f7c   4    8 .text   utf16le jjjj
 342 0x00016faf 0x10016faf   4    8 .text   utf16le jjjj
 343 0x00017322 0x10017322   5    5 .text   ascii   ;U\fuJ
 344 0x0001732d 0x1001732d   4    5 .text   ascii   ;\r`>
 345 0x00017403 0x10017403   4    8 .text   utf16le jjjj
 346 0x00017511 0x10017511   4    8 .text   utf16le jjjj
 347 0x00017585 0x10017585   4    4 .text   ascii   \bSVW
 348 0x000175a0 0x100175a0   4    4 .text   ascii   u.hD
 349 0x000175ac 0x100175ac   4    8 .text   utf16le jjjj
 350 0x00017673 0x10017673   5    5 .text   ascii   A,+B,
 351 0x00017685 0x10017685   5    5 .text   ascii   J0+H0
 352 0x000176f5 0x100176f5   4    8 .text   utf16le jjjj
 353 0x000177ae 0x100177ae   5    5 .text   ascii   B\fPh(
 354 0x000177b6 0x100177b6   4    8 .text   utf16le jjjj
 355 0x000177df 0x100177df   4    5 .text   ascii   Q\bRh
 356 0x000177e7 0x100177e7   4    8 .text   utf16le jjjj
 357 0x0001780f 0x1001780f   4    8 .text   utf16le jjjj
 358 0x0001785e 0x1001785e   4    8 .text   utf16le jjjj
 359 0x000178c9 0x100178c9   4    8 .text   utf16le jjjj
 360 0x00017926 0x10017926   4   10 .text   utf16le jjjj
 361 0x00017976 0x10017976   4    8 .text   utf16le jjjj
 362 0x000179b5 0x100179b5   4    4 .text   ascii   \SVW
 363 0x00017aa1 0x10017aa1   4    8 .text   utf16le jjjj
 364 0x00017ad5 0x10017ad5   4    4 .text   ascii   4SVW
 365 0x00017b02 0x10017b02   4    4 .text   ascii   t7ht
 366 0x00017b0e 0x10017b0e   4    8 .text   utf16le jjjj
 367 0x00017b53 0x10017b53   4    4 .text   ascii   QSVW
 368 0x00017ba0 0x10017ba0   4    8 .text   utf16le jjjj
 369 0x00017bc2 0x10017bc2   4    4 .text   ascii   Q,Rh
 370 0x00017bca 0x10017bca   4    8 .text   utf16le jjjj
 371 0x00017bea 0x10017bea   4    4 .text   ascii   Q0Rh
 372 0x00017bf2 0x10017bf2   4    8 .text   utf16le jjjj
 373 0x00017c23 0x10017c23   4    4 .text   ascii   QSVW
 374 0x00017cb5 0x10017cb5   4    4 .text   ascii   \bSVW
 375 0x00017eb2 0x10017eb2   4    6 .text   utf8    ܋U܉U blocks=Syriac,Basic Latin
 376 0x00017f85 0x10017f85   4    4 .text   ascii   \bSVW
 377 0x00017f96 0x10017f96   4    4 .text   ascii   j5hP
 378 0x00017fc4 0x10017fc4   4    4 .text   ascii   j6hP
 379 0x00017fee 0x10017fee   4    4 .text   ascii   j7hP
 380 0x0001801c 0x1001801c   4    4 .text   ascii   j8hP
 381 0x00018034 0x10018034   8    9 .text   ibm037  IeIÍKYs#
 382 0x000180a9 0x100180a9   7    7 .text   ascii   PRSVWh|
 383 0x000180b8 0x100180b8   4    4 .text   ascii   j*hh
